질문,변수명,단위,,,
일 평균 운동시간은 대략 몇 분 입니까? (소수점 허용),workout,분,,,
일 평균 컴퓨터 사용시간은 대략 몇 시간 입니까? (소수점 허용),computer,시간,,,
일 평균 핸드폰 사용은 대략 몇 시간 입니까? (소수점 허용),cellphone,시간,,,
일 평균 수면은 대략 몇  시간 입니까? (소수점 허용),sleep,시간,,,
"일 평균 SNS(인스타그램, 페이스북, 트위터, 네이버 밴드 등의 소셜네트워크서비스) 사용시간은 대략 몇 시간 입니까? (소수점 허용)",sns,시간,,,
가장 많이 사용하는 SNS는 무엇입니까?,sns_type,,,,
SNS 사용시 주로 사용하는 기기는 무엇입니까?,sns_machine,,,,
주로 사용하는 동영상 매체는 무엇입니까?,video,,,,
유튜브 등의 동영상 매체를 통해 주로 시청하는 컨텐츠는 무엇입니까?,video_contents,,,,
흡연 경험이 있습니까?,smoke,,,,
일평균 흡연량은 대략 얼마입니까?,smoke_count,개피,,,
음주 경험이 있습니까?,drink,,,,
월평균 음주 빈도는 대략 얼마입니까?,drink_freq,횟수,,,
일평균 수면시간은 대략 몇 시간 입니까?,sleep,,,,
아침식사를 합니까?,breakfast,,,,
다음 중 좋아하는 색깔은 무엇입니까?,color,,,,
태어난 해는 몇년 입니까?,birthyear,,,,
생일은 몇 월입니까?,birthmonth,,,,
키는 몇 cm 입니까?,height,cm,,,
어머니의 키는 몇 cm 입니까?,height_mom,cm,,,
아버지의 키는 몇 cm 입니까?,height_dad,cm,,,
몸무게는 몇 kg 입니까?,weight,kg,,,
신발 사이즈는 몇 cm 입니까?,shoes,cm,,,
생물학적 성별은 무엇입니까?,gender,,,,
1-10의 수 중 무작위로 아무 숫자나 고르시오.,number,,,,
국민대학교에 입학한 것에 만족합니까?,kmu_like,,,,
본인의 입학전형은 무엇입니까?,kmu_entry,,early_subject: 학생부 교과,early_total: 학생부 종합,regular: 정시 및 기타
이성교제의 경험이 있습니까?,dating ,,,,
지금까지 이성교제 대상의 수는 몇 명입니까?,dating_count,,,,
본인이 이수한 고교 교육과정 계열은 무엇입니까?,highsch_curri,,lib_arts: 인문계열,nat_science: 자연계열,
코로나19로 인해 흡연량의 변화가 있습니까?,covid_smoke,,,,
코로나19로 인해 음주량의 변화가 있습니까?,covie_drink,,,,